"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","45,831","±1,200","35,166","±2,029","N","N","10,665","±1,707","35,682","±1,320","22,560","±1,468","N","N","13,122","±1,437","63,060","±1,684","40,069","±2,252","27,949","±2,025","22,991","±1,751"
"Less than $10,000","3.4%","±1.5","2.2%","±1.5","N","N","8.8%","±4.2","7.9%","±2.5","4.3%","±2.4","N","N","16.7%","±5.3","6.9%","±1.6","5.3%","±2.0","0.6%","±0.6","11.3%","±3.8"
"$10,000 to $14,999","5.1%","±2.0","3.6%","±2.0","N","N","11.8%","±6.8","4.6%","±1.6","2.9%","±1.6","N","N","9.0%","±3.5","4.8%","±1.1","3.1%","±1.5","0.0%","±0.5","7.6%","±2.3"
"$15,000 to $24,999","6.8%","±2.2","3.7%","±1.5","N","N","17.8%","±6.7","8.8%","±2.0","5.9%","±2.1","N","N","12.3%","±3.8","8.0%","±1.8","4.8%","±1.7","3.3%","±1.7","13.8%","±3.5"
"$25,000 to $34,999","7.6%","±2.2","5.6%","±1.9","N","N","15.0%","±5.8","11.3%","±2.5","9.1%","±2.9","N","N","13.7%","±4.5","10.9%","±1.9","7.7%","±1.8","5.2%","±1.8","16.3%","±4.5"
"$35,000 to $49,999","12.0%","±2.6","10.6%","±2.7","N","N","15.3%","±5.9","15.2%","±2.7","14.9%","±3.4","N","N","17.3%","±5.0","16.1%","±2.1","13.5%","±2.5","13.0%","±2.8","21.0%","±4.2"
"$50,000 to $74,999","20.1%","±3.6","21.3%","±3.8","N","N","17.4%","±6.4","16.9%","±2.6","16.2%","±3.5","N","N","18.2%","±3.9","18.6%","±2.2","20.1%","±2.9","20.8%","±3.9","18.2%","±3.9"
"$75,000 to $99,999","13.3%","±2.4","15.0%","±3.1","N","N","5.0%","±2.8","12.6%","±2.4","16.2%","±3.7","N","N","5.0%","±2.2","14.1%","±2.3","18.5%","±3.0","21.8%","±3.7","4.7%","±1.6"
"$100,000 to $149,999","17.8%","±2.6","21.3%","±3.0","N","N","4.6%","±3.1","13.6%","±2.1","17.9%","±3.2","N","N","4.8%","±2.8","12.2%","±2.0","14.9%","±2.8","18.8%","±3.8","4.9%","±2.0"
"$150,000 to $199,999","7.0%","±2.0","7.9%","±2.4","N","N","4.2%","±3.5","5.0%","±1.3","6.8%","±1.8","N","N","1.9%","±1.6","4.3%","±1.2","6.3%","±1.8","8.4%","±2.4","0.8%","±0.7"
"$200,000 or more","6.8%","±2.1","8.8%","±2.8","N","N","0.0%","±1.3","4.1%","±1.4","5.9%","±2.0","N","N","1.2%","±1.0","4.2%","±0.9","5.8%","±1.3","8.1%","±1.8","1.4%","±1.0"
"Median income (dollars)","67,047","±5,443","79,089","±5,906","92,672","±6,389","33,416","±4,031","51,208","±1,767","66,916","±7,537","89,575","±5,845","33,747","±4,627","52,043","±1,956","67,908","±6,228","83,227","±6,398","35,417","±2,761"
"Mean income (dollars)","88,538","±7,648","100,848","±9,172","N","N","43,711","±6,824","74,290","±6,214","86,392","±7,007","N","N","50,363","±10,196","70,839","±3,477","85,140","±5,328","N","N","42,938","±3,233"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","36.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","26.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.1%","(X)"
