"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","52,041","±676","38,023","±1,749","N","N","14,018","±1,818","39,836","±865","22,671","±1,542","N","N","17,165","±1,609","66,791","±1,493","42,038","±2,342","N","N","24,753","±2,120"
"    Less than $10,000","2.9%","±1.4","0.4%","±0.5","N","N","9.5%","±5.0","4.8%","±2.0","1.1%","±0.9","N","N","9.7%","±4.5","4.7%","±1.3","2.6%","±1.3","N","N","8.2%","±3.0"
"    $10,000 to $14,999","2.9%","±1.7","1.3%","±1.1","N","N","7.9%","±5.0","4.2%","±1.4","1.5%","±1.2","N","N","8.1%","±3.2","4.3%","±1.6","0.8%","±0.8","N","N","11.0%","±4.0"
"    $15,000 to $24,999","3.2%","±1.2","2.2%","±1.4","N","N","8.7%","±3.6","6.0%","±1.8","1.6%","±1.1","N","N","11.7%","±3.7","6.1%","±1.5","4.6%","±1.5","N","N","9.2%","±3.2"
"    $25,000 to $34,999","5.6%","±1.7","6.0%","±2.1","N","N","9.1%","±3.7","9.0%","±2.4","4.4%","±1.9","N","N","15.5%","±4.7","6.2%","±1.4","3.5%","±1.2","N","N","11.9%","±3.2"
"    $35,000 to $49,999","9.0%","±2.4","6.1%","±2.0","N","N","17.0%","±6.1","10.7%","±2.9","7.8%","±2.5","N","N","14.7%","±5.3","11.7%","±2.2","7.8%","±2.5","N","N","18.7%","±4.4"
"    $50,000 to $74,999","16.8%","±3.0","14.8%","±3.3","N","N","18.4%","±5.7","15.9%","±3.3","14.8%","±4.3","N","N","20.2%","±4.7","15.8%","±2.2","13.2%","±2.5","N","N","19.2%","±4.4"
"    $75,000 to $99,999","15.0%","±3.4","14.9%","±3.4","N","N","13.9%","±6.8","14.0%","±2.9","18.8%","±4.6","N","N","7.3%","±2.4","12.2%","±2.4","14.5%","±3.2","N","N","7.5%","±2.7"
"    $100,000 to $149,999","22.7%","±2.9","27.5%","±3.9","N","N","9.4%","±4.1","16.3%","±3.2","21.3%","±3.7","N","N","6.5%","±2.4","20.3%","±2.3","26.8%","±3.4","N","N","10.0%","±3.3"
"    $150,000 to $199,999","10.1%","±2.2","11.6%","±2.9","N","N","3.5%","±2.8","7.4%","±1.8","12.1%","±3.0","N","N","1.2%","±1.1","9.5%","±2.2","13.0%","±3.2","N","N","2.4%","±1.8"
"    $200,000 or more","11.8%","±1.9","15.2%","±2.7","N","N","2.6%","±2.4","11.7%","±2.4","16.6%","±4.3","N","N","5.2%","±2.8","9.2%","±2.0","13.2%","±3.1","N","N","1.9%","±1.3"
"Median income (dollars)","89,931","±4,705","105,093","±8,620","119,463","±7,839","47,236","±6,973","72,967","±8,316","100,088","±8,853","118,980","±15,513","39,211","±5,290","77,099","±6,063","105,038","±6,758","114,119","±7,276","43,835","±3,652"
"Mean income (dollars)","110,454","±5,257","125,539","±7,401","N","N","61,126","±7,230","103,910","±8,311","132,911","±12,898","N","N","63,518","±13,346","103,694","±7,941","130,799","±11,769","N","N","54,578","±4,626"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","35.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","35.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","27.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.1%","(X)"
