"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","46,849","±1,034","36,011","±1,570","N","N","10,838","±1,535","36,461","±1,248","24,524","±1,377","N","N","11,937","±1,276","63,609","±1,297","41,291","±2,125","28,537","±1,956","22,318","±1,882"
"Less than $10,000","3.4%","±1.4","2.4%","±1.4","N","N","7.9%","±4.8","7.2%","±2.6","7.7%","±3.3","N","N","7.3%","±3.3","5.3%","±1.4","4.2%","±1.4","0.3%","±0.4","8.8%","±3.1"
"$10,000 to $14,999","2.4%","±1.2","2.3%","±1.6","N","N","2.6%","±1.6","2.5%","±0.9","0.4%","±0.6","N","N","6.8%","±2.6","4.3%","±1.1","2.9%","±1.4","0.8%","±0.7","7.4%","±2.3"
"$15,000 to $24,999","6.9%","±2.4","3.9%","±1.7","N","N","15.9%","±7.2","9.8%","±2.6","6.2%","±2.3","N","N","17.6%","±6.5","8.9%","±1.6","5.8%","±1.8","3.0%","±1.7","14.8%","±2.8"
"$25,000 to $34,999","8.7%","±2.7","7.6%","±2.6","N","N","14.2%","±6.8","7.4%","±1.6","5.8%","±1.9","N","N","10.9%","±4.0","10.2%","±1.8","8.0%","±2.1","5.5%","±1.7","14.4%","±3.7"
"$35,000 to $49,999","11.2%","±2.3","10.6%","±2.6","N","N","15.3%","±5.8","13.9%","±2.5","10.6%","±2.6","N","N","20.5%","±5.6","11.8%","±2.0","10.0%","±2.4","9.9%","±3.0","14.6%","±3.5"
"$50,000 to $74,999","18.6%","±3.4","17.6%","±3.4","N","N","23.9%","±7.2","17.7%","±2.8","17.3%","±3.4","N","N","19.7%","±4.6","18.9%","±2.0","18.2%","±2.6","17.2%","±3.2","21.5%","±4.0"
"$75,000 to $99,999","14.8%","±2.8","16.7%","±3.5","N","N","7.3%","±3.6","13.4%","±2.5","15.9%","±3.5","N","N","6.1%","±2.7","14.9%","±2.5","18.1%","±3.2","20.9%","±3.8","8.2%","±3.1"
"$100,000 to $149,999","17.3%","±3.0","19.3%","±3.8","N","N","9.6%","±6.0","16.3%","±2.7","19.6%","±3.7","N","N","8.6%","±4.7","17.3%","±2.3","22.4%","±3.1","29.3%","±3.9","7.6%","±2.4"
"$150,000 to $199,999","9.9%","±2.1","11.2%","±2.5","N","N","1.7%","±1.8","6.7%","±1.6","9.4%","±2.2","N","N","1.3%","±1.1","4.7%","±1.1","6.3%","±1.8","7.3%","±1.7","1.4%","±0.9"
"$200,000 or more","6.8%","±2.2","8.2%","±2.7","N","N","1.8%","±2.1","5.1%","±1.5","7.1%","±2.2","N","N","1.2%","±1.2","3.7%","±1.2","4.3%","±1.5","5.8%","±2.1","1.3%","±1.0"
"Median income (dollars)","72,374","±5,179","84,003","±6,830","96,188","±5,646","43,952","±9,101","62,536","±3,917","77,810","±6,780","97,659","±6,448","38,970","±4,775","62,182","±3,228","76,662","±4,931","87,077","±3,524","40,369","±3,689"
"Mean income (dollars)","92,690","±5,972","101,056","±7,078","N","N","59,216","±14,113","78,640","±4,645","92,665","±6,669","N","N","47,749","±4,818","75,830","±4,647","88,476","±6,689","N","N","49,455","±3,604"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","35.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","30.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.3%","(X)"
