"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","45,559","±985","34,986","±1,665","N","N","10,573","±1,424","34,947","±1,460","22,272","±1,503","N","N","12,675","±1,311","61,930","±1,554","40,946","±2,018","29,536","±1,782","20,984","±1,892"
"Less than $10,000","2.3%","±1.1","1.7%","±1.3","N","N","4.2%","±2.8","7.4%","±2.4","5.3%","±2.2","N","N","13.1%","±5.2","6.5%","±1.7","4.4%","±2.1","2.0%","±1.5","12.0%","±3.2"
"$10,000 to $14,999","2.6%","±1.2","1.5%","±1.1","N","N","6.7%","±4.0","6.4%","±1.7","2.9%","±1.5","N","N","11.7%","±4.0","5.7%","±1.7","3.3%","±2.0","0.5%","±0.6","11.3%","±3.4"
"$15,000 to $24,999","12.7%","±3.0","11.2%","±3.4","N","N","20.3%","±6.3","9.6%","±1.8","6.4%","±2.0","N","N","16.3%","±4.3","9.7%","±1.6","7.1%","±2.1","4.2%","±1.8","15.2%","±3.5"
"$25,000 to $34,999","6.3%","±2.0","4.2%","±1.6","N","N","14.0%","±6.3","8.5%","±2.0","7.3%","±2.3","N","N","11.6%","±3.7","9.7%","±1.7","7.5%","±2.1","5.6%","±1.9","14.4%","±3.1"
"$35,000 to $49,999","12.8%","±2.4","10.8%","±2.8","N","N","19.2%","±6.3","14.1%","±2.6","12.5%","±3.1","N","N","17.3%","±5.1","15.2%","±2.2","14.2%","±2.4","14.4%","±2.7","16.1%","±3.9"
"$50,000 to $74,999","21.2%","±3.1","21.6%","±3.4","N","N","17.6%","±7.1","17.3%","±2.9","19.1%","±3.3","N","N","15.0%","±4.5","20.9%","±2.4","23.2%","±3.2","25.3%","±3.7","16.1%","±3.7"
"$75,000 to $99,999","13.9%","±2.7","15.9%","±2.9","N","N","7.1%","±5.0","15.9%","±2.4","18.4%","±3.0","N","N","7.7%","±5.0","12.8%","±2.2","15.4%","±2.7","16.8%","±3.4","8.5%","±3.4"
"$100,000 to $149,999","16.7%","±2.6","20.1%","±3.0","N","N","4.5%","±3.3","11.7%","±2.3","15.7%","±3.0","N","N","4.8%","±3.7","12.4%","±2.1","14.5%","±2.8","17.5%","±3.4","5.8%","±2.3"
"$150,000 to $199,999","5.3%","±1.9","6.1%","±2.2","N","N","2.3%","±2.2","5.1%","±1.3","6.9%","±1.9","N","N","1.4%","±1.6","3.2%","±1.2","4.6%","±1.9","5.9%","±2.3","0.4%","±0.5"
"$200,000 or more","6.2%","±1.7","6.9%","±1.9","N","N","4.0%","±4.2","4.0%","±1.6","5.6%","±2.4","N","N","1.2%","±1.4","3.8%","±1.1","5.7%","±1.7","7.9%","±2.2","0.2%","±0.3"
"Median income (dollars)","64,414","±3,592","74,009","±5,954","88,961","±7,576","40,634","±6,483","53,323","±2,571","70,043","±7,129","90,382","±3,736","32,016","±5,026","53,761","±2,590","63,846","±3,798","71,757","±6,133","31,925","±3,119"
"Mean income (dollars)","81,865","±4,820","89,733","±5,922","N","N","53,328","±9,385","69,749","±4,346","83,758","±5,900","N","N","42,663","±5,715","67,972","±3,773","80,374","±5,928","N","N","41,061","±3,221"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","35.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","35.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","36.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.3%","(X)"
