"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","48,770","±957","34,993","±1,817","N","N","13,777","±1,738","38,110","±1,075","21,992","±1,470","N","N","16,118","±1,408","65,362","±1,218","39,590","±2,291","29,194","±2,087","25,772","±2,409"
"    Less than $10,000","3.2%","±1.6","2.0%","±1.8","N","N","7.1%","±3.9","3.9%","±1.6","1.7%","±1.1","N","N","7.8%","±3.5","4.6%","±1.3","2.9%","±1.5","0.4%","±0.5","7.7%","±2.5"
"    $10,000 to $14,999","2.8%","±1.3","2.2%","±1.6","N","N","7.0%","±3.9","6.7%","±2.2","4.0%","±2.5","N","N","10.8%","±4.0","4.2%","±1.3","1.9%","±1.0","1.3%","±1.0","7.7%","±2.8"
"    $15,000 to $24,999","6.4%","±2.4","3.4%","±1.7","N","N","16.2%","±6.9","8.0%","±2.0","4.0%","±1.9","N","N","12.5%","±3.8","7.2%","±1.9","5.2%","±2.4","2.6%","±1.9","10.3%","±2.7"
"    $25,000 to $34,999","6.5%","±2.1","5.1%","±2.4","N","N","7.7%","±3.9","8.9%","±2.2","5.1%","±2.0","N","N","13.7%","±4.0","7.3%","±1.5","3.9%","±1.5","2.6%","±1.3","12.7%","±3.0"
"    $35,000 to $49,999","11.0%","±3.0","10.9%","±3.3","N","N","16.3%","±5.8","10.3%","±1.9","7.4%","±2.1","N","N","15.3%","±3.7","14.0%","±2.4","12.3%","±2.4","8.4%","±2.1","18.0%","±4.4"
"    $50,000 to $74,999","19.7%","±3.3","16.6%","±3.4","N","N","27.0%","±6.5","17.3%","±2.9","18.2%","±4.7","N","N","18.5%","±4.6","16.1%","±2.1","15.4%","±2.8","13.9%","±3.0","17.4%","±3.9"
"    $75,000 to $99,999","12.9%","±2.6","13.4%","±3.2","N","N","7.4%","±3.1","14.7%","±2.7","16.2%","±3.6","N","N","10.1%","±3.6","13.0%","±2.3","13.9%","±2.8","16.2%","±3.5","10.0%","±3.2"
"    $100,000 to $149,999","22.4%","±3.8","27.7%","±4.8","N","N","5.5%","±4.0","15.8%","±2.6","21.2%","±4.1","N","N","8.7%","±3.1","20.0%","±2.9","27.2%","±4.1","32.2%","±4.7","8.9%","±2.9"
"    $150,000 to $199,999","8.7%","±1.9","10.5%","±2.5","N","N","4.1%","±3.5","7.3%","±1.8","11.3%","±2.8","N","N","0.4%","±0.6","7.9%","±1.8","9.6%","±2.3","12.4%","±3.0","5.1%","±3.1"
"    $200,000 or more","6.4%","±1.6","8.2%","±2.1","N","N","1.6%","±1.5","7.2%","±1.6","10.9%","±2.6","N","N","2.1%","±1.7","5.6%","±1.5","7.6%","±2.1","10.0%","±2.9","2.1%","±1.2"
"Median income (dollars)","76,443","±7,824","93,245","±9,730","106,252","±6,131","42,162","±9,534","66,439","±6,672","91,685","±6,539","101,166","±5,470","38,629","±4,676","68,849","±5,525","90,817","±5,798","104,138","±5,682","45,484","±3,032"
"Mean income (dollars)","95,188","±6,211","105,469","±6,670","N","N","61,808","±12,902","90,484","±6,521","113,467","±9,373","N","N","56,654","±8,379","89,473","±6,209","104,451","±6,766","N","N","64,213","±8,355"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","31.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","30.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","28.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.0%","(X)"
