"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","47,684","±1,188","34,483","±1,776","N","N","13,201","±1,643","36,992","±1,272","23,003","±1,537","N","N","13,989","±1,525","64,611","±1,348","40,085","±1,946","N","N","24,526","±1,935"
"    Less than $10,000","1.6%","±1.1","1.4%","±1.3","N","N","2.2%","±1.6","11.5%","±3.1","6.4%","±3.1","N","N","20.2%","±6.4","4.5%","±1.2","2.8%","±1.2","N","N","7.9%","±2.5"
"    $10,000 to $14,999","0.8%","±0.5","0.3%","±0.3","N","N","2.3%","±1.7","3.2%","±1.2","1.9%","±1.4","N","N","6.8%","±2.8","2.5%","±0.9","1.2%","±0.8","N","N","5.1%","±2.0"
"    $15,000 to $24,999","6.1%","±2.3","3.0%","±1.9","N","N","15.3%","±6.2","7.3%","±1.9","5.0%","±2.6","N","N","12.2%","±4.4","9.2%","±1.8","4.1%","±1.6","N","N","17.8%","±4.0"
"    $25,000 to $34,999","9.6%","±3.0","6.5%","±3.0","N","N","18.9%","±8.3","7.7%","±1.8","4.8%","±2.0","N","N","13.4%","±4.7","8.3%","±1.8","8.7%","±2.5","N","N","8.8%","±3.0"
"    $35,000 to $49,999","10.3%","±2.7","9.4%","±3.6","N","N","15.0%","±5.9","11.2%","±2.2","8.8%","±2.5","N","N","14.6%","±4.0","12.0%","±2.4","9.2%","±2.4","N","N","15.7%","±3.9"
"    $50,000 to $74,999","20.3%","±4.1","17.5%","±3.8","N","N","28.2%","±10.1","17.7%","±2.9","18.9%","±4.1","N","N","15.0%","±4.5","21.8%","±2.6","19.6%","±3.3","N","N","26.1%","±5.1"
"    $75,000 to $99,999","15.2%","±2.6","16.8%","±3.2","N","N","9.0%","±4.6","11.2%","±2.3","13.5%","±3.3","N","N","6.1%","±2.8","13.3%","±2.0","17.6%","±3.3","N","N","6.8%","±2.2"
"    $100,000 to $149,999","20.2%","±2.7","25.3%","±3.9","N","N","4.7%","±2.5","19.6%","±2.8","25.5%","±4.3","N","N","8.6%","±3.5","17.6%","±2.0","22.2%","±3.3","N","N","7.9%","±2.8"
"    $150,000 to $199,999","8.7%","±2.0","10.6%","±2.7","N","N","3.2%","±2.7","6.8%","±1.6","10.1%","±2.5","N","N","1.3%","±1.6","4.2%","±1.0","5.8%","±1.5","N","N","1.0%","±0.8"
"    $200,000 or more","7.3%","±2.3","9.3%","±2.9","N","N","1.1%","±1.2","3.8%","±1.3","5.1%","±2.0","N","N","1.6%","±1.8","6.7%","±1.3","8.9%","±2.0","N","N","2.9%","±1.3"
"Median income (dollars)","77,429","±6,686","91,687","±7,300","101,846","±7,153","47,931","±8,801","59,524","±5,064","81,550","±5,031","101,932","±4,090","33,031","±5,301","64,441","±4,256","79,678","±4,986","91,227","±6,776","43,443","±3,578"
"Mean income (dollars)","94,148","±5,388","107,053","±6,628","N","N","54,482","±5,819","77,962","±5,905","95,391","±8,414","N","N","46,740","±7,232","84,280","±3,808","99,427","±5,328","N","N","56,690","±6,089"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","31.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","32.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","27.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.9%","(X)"
