"Label (Grouping)","Boone County, Kentucky!!Households!!Estimate","Boone County, Kentucky!!Households!!Margin of Error","Boone County, Kentucky!!Families!!Estimate","Boone County, Kentucky!!Families!!Margin of Error","Boone County, Kentucky!!Married-couple families!!Estimate","Boone County, Kentucky!!Married-couple families!!Margin of Error","Boone County, Kentucky!!Nonfamily households!!Estimate","Boone County, Kentucky!!Nonfamily households!!Margin of Error","Campbell County, Kentucky!!Households!!Estimate","Campbell County, Kentucky!!Households!!Margin of Error","Campbell County, Kentucky!!Families!!Estimate","Campbell County, Kentucky!!Families!!Margin of Error","Campbell County, Kentucky!!Married-couple families!!Estimate","Campbell County, Kentucky!!Married-couple families!!Margin of Error","Campbell County, Kentucky!!Nonfamily households!!Estimate","Campbell County, Kentucky!!Nonfamily households!!Margin of Error","Kenton County, Kentucky!!Households!!Estimate","Kenton County, Kentucky!!Households!!Margin of Error","Kenton County, Kentucky!!Families!!Estimate","Kenton County, Kentucky!!Families!!Margin of Error","Kenton County, Kentucky!!Married-couple families!!Estimate","Kenton County, Kentucky!!Married-couple families!!Margin of Error","Kenton County, Kentucky!!Nonfamily households!!Estimate","Kenton County, Kentucky!!Nonfamily households!!Margin of Error"
"Total","44,988","±1,125","30,364","±1,657","N","N","14,624","±1,537","35,602","±1,151","21,812","±1,466","17,302","±1,477","13,790","±1,280","62,900","±1,235","41,161","±2,161","28,508","±1,848","21,739","±2,106"
"Less than $10,000","3.6%","±1.4","2.6%","±1.7","N","N","7.8%","±3.5","7.0%","±2.0","4.2%","±2.2","3.2%","±1.9","12.6%","±4.0","7.5%","±1.9","6.1%","±1.9","1.9%","±1.5","11.2%","±3.7"
"$10,000 to $14,999","3.7%","±1.4","0.6%","±0.5","N","N","9.6%","±3.7","4.9%","±1.3","2.5%","±1.2","1.4%","±0.9","9.4%","±3.2","4.9%","±1.4","3.1%","±1.5","1.5%","±1.2","8.7%","±3.3"
"$15,000 to $24,999","8.9%","±2.3","6.3%","±2.6","N","N","15.3%","±5.0","10.4%","±2.1","5.2%","±1.7","3.7%","±1.8","18.7%","±4.4","10.3%","±1.9","8.6%","±2.5","2.5%","±1.3","15.9%","±3.6"
"$25,000 to $34,999","6.1%","±1.6","4.2%","±2.0","N","N","10.5%","±3.9","11.5%","±2.4","8.8%","±2.5","7.2%","±2.5","16.1%","±4.8","10.6%","±2.1","8.9%","±2.1","7.3%","±2.3","16.0%","±4.1"
"$35,000 to $49,999","14.1%","±2.6","9.9%","±2.6","N","N","21.4%","±5.7","15.4%","±3.4","12.6%","±3.6","12.4%","±4.3","19.5%","±5.7","13.1%","±2.0","11.6%","±2.3","9.1%","±2.2","18.2%","±4.2"
"$50,000 to $74,999","21.3%","±3.2","21.7%","±4.2","N","N","19.7%","±5.0","15.0%","±2.3","18.0%","±3.2","16.1%","±3.4","9.1%","±3.0","19.7%","±2.4","18.2%","±2.9","21.2%","±3.4","15.6%","±3.2"
"$75,000 to $99,999","13.5%","±2.3","18.3%","±3.4","N","N","6.0%","±3.6","12.0%","±2.3","14.7%","±3.1","16.0%","±3.5","7.8%","±3.9","13.1%","±2.0","15.8%","±2.8","20.4%","±3.4","6.8%","±2.0"
"$100,000 to $149,999","18.7%","±2.7","22.7%","±3.5","N","N","6.9%","±3.2","14.7%","±2.7","20.1%","±3.7","24.6%","±4.5","5.5%","±2.9","12.6%","±1.9","16.3%","±2.5","21.4%","±3.4","5.9%","±2.8"
"$150,000 to $199,999","5.5%","±1.5","7.2%","±2.0","N","N","1.5%","±1.5","6.0%","±1.8","9.4%","±2.8","10.7%","±3.2","0.7%","±0.8","4.3%","±1.0","6.0%","±1.6","7.6%","±2.1","1.2%","±0.8"
"$200,000 or more","4.8%","±2.0","6.4%","±2.6","N","N","1.4%","±1.8","3.0%","±1.1","4.4%","±1.5","4.8%","±1.9","0.8%","±1.0","3.9%","±1.1","5.4%","±1.6","7.1%","±2.1","0.7%","±0.8"
"Median income (dollars)","65,736","±5,494","80,243","±4,372","86,728","±3,909","40,118","±4,004","50,872","±4,360","73,324","±5,649","85,498","±8,427","30,609","±4,678","54,300","±4,612","65,374","±5,335","82,409","±4,686","32,369","±4,504"
"Mean income (dollars)","81,644","±7,122","93,282","±5,421","N","N","54,736","±16,448","69,174","±4,017","86,375","±5,821","N","N","40,201","±4,548","70,449","±3,380","82,690","±4,963","N","N","43,120","±3,434"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","31.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","31.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.1%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","30.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.2%","(X)"
